timestamp,item_id,type,bloom_level,cluster,predicted_confidence,outcome,interval_before,interval_after,ease,reps,time_taken_s
2026-07-02T16:16:52,u2-postmodern-evaluate-01,explain,evaluate,theory-families,75,correct,1,6,2.06,2,27.1
2026-07-02T16:17:22,u2-postmodern-apply-01,vignette,apply,theory-families,85,correct,1,6,2.24,2,23.4
2026-07-02T16:17:47,u1-upr-apply-01,vignette,apply,rogers-conditions,90,correct,2,6,2.46,2,21.7
2026-07-02T16:18:19,u2-psychodynamic-evaluate-01,explain,evaluate,theory-families,90,correct,1,1,2.14,1,17.7
2026-07-02T16:19:10,u2-personcentered-stuckbetter-01,explain,understand,theory-families,100,correct,1,6,2.42,2,39.7
2026-07-02T16:20:08,u2-bowen-vs-minuchin-compare-01,compare,analyze,theory-families,50,shaky,1,1,1.72,0,34.4
2026-07-02T16:20:13,u2-personcentered-cloze-01,cloze,remember,theory-families,100,correct,1,6,2.42,2,3.7
2026-07-02T16:21:31,u1-contextual-understand-01,recall,understand,common-factors,90,correct,1,6,2.56,2,69.7
2026-07-02T16:24:16,u2-cbt-apply-01,vignette,apply,theory-families,90,correct,1,6,2.38,2,49.4
2026-07-02T16:24:39,u1-reflect-apply-01,vignette,apply,microskill-types,90,correct,2,6,2.46,2,14.5
2026-07-02T16:24:59,u1-commonfactors-evaluate-01,explain,evaluate,common-factors,100,correct,1,6,2.56,2,13.4
2026-07-02T16:26:55,u2-sfbt-vs-narrative-compare-01,compare,analyze,theory-families,80,shaky,1,1,1.76,0,77.5
2026-07-02T16:27:20,u1-empathy-analyze-01,compare,analyze,rogers-conditions,90,correct,2,6,2.46,2,14.5
2026-07-02T16:28:31,u2-defense-apply-01,vignette,apply,theory-families,70,missed,1,1,1.72,0,39.5
2026-07-06T16:42:40,u2-differential-mcq-04,mcq,analyze,theory-families,100,correct,6,16,2.8,3,12.4
2026-07-06T16:43:47,u1-reflect-analyze-01,vignette,analyze,microskill-types,95,correct,6,16,2.7,3,57.9
2026-07-06T16:44:51,u1-coreconditions-evaluate-01,explain,evaluate,rogers-conditions,100,correct,6,16,2.7,3,51.4
2026-07-06T16:47:17,u2-existential-vs-personcentered-apply-01,compare,apply,theory-families,80,correct,6,16,2.8,3,134.7
2026-07-06T16:47:45,u1-stance-apply-01,vignette,apply,microskill-types,90,correct,6,16,2.7,3,20.3
2026-07-06T16:47:50,u1-bordin-cloze-01,cloze,remember,alliance-components,100,correct,6,16,2.7,3,4.0
2026-07-06T16:48:53,u2-cbt-stuckbetter-01,explain,understand,theory-families,85,correct,6,16,2.8,3,47.8
2026-07-06T16:49:44,u2-sfbt-vs-narrative-compare-01,compare,analyze,theory-families,80,correct,1,1,1.86,1,38.8
2026-07-06T16:49:52,u2-differential-mcq-01,mcq,apply,theory-families,100,correct,6,16,2.8,3,7.6
2026-07-06T16:50:03,u2-cbt-cloze-01,cloze,remember,theory-families,100,correct,6,16,2.8,3,8.9
2026-07-06T16:50:09,u1-attending-cloze-01,cloze,remember,microskill-types,100,correct,6,16,2.8,3,5.0
2026-07-06T16:50:57,u1-upr-understand-01,explain,understand,rogers-conditions,85,correct,6,16,2.7,3,39.4
2026-07-06T16:53:34,u2-familysystems-stuckbetter-01,explain,understand,theory-families,90,correct,6,16,2.8,3,15.5
2026-07-06T16:53:40,u2-differential-mcq-02,mcq,apply,theory-families,100,correct,6,16,2.8,3,5.3
2026-07-06T16:53:49,u2-unitofanalysis-analyze-01,explain,analyze,theory-families,100,correct,6,16,2.8,3,5.0
2026-07-06T16:54:12,u1-bordin-understand-01,explain,understand,alliance-components,100,correct,6,16,2.7,3,16.7
2026-07-06T16:54:33,u2-stance-evaluate-01,explain,evaluate,theory-families,100,correct,6,16,2.8,3,14.9
2026-07-06T16:54:50,u1-alliance-evidence-recall-01,recall,remember,common-factors,100,correct,6,16,2.7,3,12.1
2026-07-06T16:56:06,u2-bowen-vs-minuchin-compare-01,compare,analyze,theory-families,100,correct,1,1,1.82,1,67.7
2026-07-06T16:56:55,u2-cbt-vs-postmodern-compare-01,compare,analyze,theory-families,100,correct,6,16,2.8,3,45.0
2026-07-06T16:57:02,u2-differential-mcq-05,mcq,apply,theory-families,100,correct,6,16,2.8,3,5.4
2026-07-06T16:57:33,u2-personcentered-apply-01,vignette,apply,theory-families,65,shaky,1,1,1.94,0,24.9
2026-07-06T16:58:04,u2-psychodynamic-evaluate-01,explain,evaluate,theory-families,100,correct,1,6,2.24,2,24.1
2026-07-06T16:58:26,u2-defense-apply-01,vignette,apply,theory-families,100,correct,1,1,1.82,1,16.6
2026-07-06T17:27:55,ax-pfa-worden-recall-01,recall,understand,grief-models,85,correct,0,1,2.6,1,77.1
2026-07-06T17:28:29,ax-pfa-objectives-recall-01,recall,remember,pfa-frameworks,80,missed,1,1,1.86,0,22.2
2026-07-06T17:29:30,ax-pfa-coreactions-analyze-01,vignette,analyze,pfa-frameworks,50,missed,1,1,1.86,0,28.3
2026-07-06T17:30:23,ax-pfa-evidence-evaluate-01,explain,evaluate,pfa-frameworks,30,shaky,0,1,2.36,0,35.1
2026-07-06T17:32:06,ax-pfa-coreactions-recall-01,recall,understand,pfa-frameworks,50,missed,0,1,2.18,0,70.6
2026-07-06T17:33:05,ax-pfa-condolence-analyze-01,vignette,analyze,bereavement-support,85,correct,0,1,2.6,1,39.4
2026-07-06T17:33:15,ax-pfa-dpm-cloze-01,cloze,remember,grief-models,80,correct,0,1,2.6,1,7.1
2026-07-06T17:34:13,ax-pfa-debrief-apply-01,vignette,apply,pfa-frameworks,80,correct,0,1,2.6,1,42.7
2026-07-06T17:34:19,ax-pfa-ring-cloze-01,cloze,remember,bereavement-support,100,correct,0,1,2.6,1,5.2
2026-07-06T17:34:55,ax-pfa-help-apply-01,vignette,apply,bereavement-support,80,correct,0,1,2.6,1,26.1
2026-07-06T17:35:34,ax-pfa-pgd-analyze-01,vignette,analyze,grief-models,100,correct,0,1,2.6,1,20.9
2026-07-06T17:35:44,ax-pfa-pgd-risk-mcq-01,mcq,understand,grief-models,100,correct,0,1,2.6,1,8.3
2026-07-06T17:36:24,ax-pfa-debrief-understand-01,explain,understand,pfa-frameworks,85,correct,0,1,2.6,1,27.9
2026-07-06T17:37:45,ax-pfa-grief-compare-01,compare,analyze,grief-models,90,correct,1,1,2.28,1,67.9
2026-07-06T17:37:56,ax-pfa-lll-cloze-01,cloze,remember,pfa-frameworks,100,correct,0,1,2.6,1,9.6
2026-07-06T17:38:12,ax-pfa-pgd-cloze-01,cloze,remember,grief-models,100,correct,0,1,2.6,1,6.3
2026-07-06T17:39:40,ax-pfa-refer-analyze-01,vignette,analyze,bereavement-support,40,shaky,1,1,2.04,0,75.8
2026-07-06T17:40:55,ax-pfa-lll-apply-01,vignette,apply,pfa-frameworks,85,correct,0,1,2.6,1,51.3
2026-07-06T17:41:40,ax-pfa-selfcare-evaluate-01,explain,evaluate,bereavement-support,80,missed,0,1,2.18,0,34.9
2026-07-06T17:42:38,ax-pfa-dpm-apply-01,vignette,apply,grief-models,80,shaky,0,1,2.36,0,47.4
2026-07-06T17:43:18,ax-pfa-kublerross-evaluate-01,explain,evaluate,grief-models,65,missed,0,1,2.18,0,31.7
2026-07-06T17:44:03,ax-pfa-name-understand-01,explain,understand,bereavement-support,85,correct,1,6,2.7,2,37.4
2026-07-06T17:44:58,ax-pfa-ring-apply-01,vignette,apply,bereavement-support,80,correct,1,1,2.46,1,44.4
2026-07-07T17:21:28,ax-pfa-grief-compare-01,compare,analyze,grief-models,100,correct,1,6,2.38,2,62.6
2026-07-07T17:22:38,u2-psychodynamic-vs-cbt-compare-01,compare,analyze,theory-families,80,correct,6,15,2.66,3,52.7
2026-07-07T17:22:45,ax-pfa-pgd-risk-mcq-01,mcq,understand,grief-models,100,correct,1,6,2.7,2,5.8
2026-07-07T17:23:37,u2-psychodynamic-apply-01,vignette,apply,theory-families,80,correct,6,16,2.8,3,47.9
2026-07-07T17:24:21,ax-pfa-worden-recall-01,recall,understand,grief-models,70,correct,1,6,2.7,2,37.1
2026-07-07T17:24:28,u1-coreconditions-cloze-01,cloze,remember,rogers-conditions,100,correct,6,16,2.8,3,6.6
2026-07-07T17:25:14,u1-bordin-apply-01,vignette,apply,alliance-components,80,correct,6,16,2.8,3,33.7
